status,number_of_stories,age,ff_elevation,wc_encoded,roof_encoded
1.0,1.0,20.0,2.25,1.0,13.0
1.0,1.0,22.0,1.75,1.0,13.0
1.0,1.0,20.0,0.0,1.0,13.0
1.0,1.0,27.0,1.75,1.0,13.0
0.0,1.0,30.0,3.0,1.0,0.0
0.0,2.0,25.0,1.75,1.0,13.0
0.0,3.0,1.0,2.25,1.0,14.0
1.0,1.0,18.0,1.75,1.0,13.0
0.0,1.0,17.0,0.0,1.0,0.0
1.0,1.0,18.0,0.0,1.0,13.0
1.0,1.0,50.0,8.0,44.0,14.0
1.0,2.0,58.0,0.0,20.0,0.0
1.0,1.0,47.0,2.0,15.0,22.0
1.0,1.0,48.0,3.0,15.0,0.0
1.0,1.0,68.0,2.0,7.0,14.0
0.0,1.0,58.0,8.0,7.0,22.0
0.0,1.0,77.0,1.0,1.0,14.0
1.0,1.0,34.0,2.0,44.0,23.0
0.0,1.0,63.0,2.0,44.0,23.0
0.0,1.0,54.0,0.0,1.0,14.0
1.0,2.0,25.0,0.0,15.0,14.0
1.0,1.0,63.0,2.0,44.0,14.0
1.0,1.0,60.0,10.0,1.0,22.0
1.0,1.0,65.0,1.0,7.0,14.0
2.0,1.0,66.0,1.0,15.0,0.0
1.0,1.0,16.0,14.0,15.0,14.0
1.0,1.0,47.0,10.0,41.0,5.0
0.0,1.0,9.0,10.0,15.0,14.0
1.0,2.0,40.0,12.0,15.0,0.0
0.0,2.0,9.0,0.0,15.0,14.0
0.0,2.0,22.0,10.0,15.0,14.0
0.0,2.0,1.0,0.0,15.0,14.0
0.0,2.0,33.4,0.0,1.0,17.0
3.0,2.0,35.0,0.0,15.0,14.0
1.0,1.0,66.0,2.0,7.0,0.0
1.0,1.0,104.0,1.0,44.0,14.0
0.0,1.0,37.0,8.0,1.0,13.0
1.0,1.0,27.0,1.75,1.0,13.0
1.0,1.0,21.0,0.0,1.0,13.0
0.0,1.0,9.0,1.75,1.0,13.0
1.0,1.0,16.0,0.0,1.0,13.0
0.0,1.0,17.0,1.0,1.0,0.0
1.0,1.0,1.0,1.75,1.0,13.0
1.0,1.0,17.0,1.75,1.0,13.0
1.0,1.0,17.0,1.0,1.0,13.0
1.0,1.0,17.0,0.0,1.0,13.0
1.0,2.0,4.0,1.75,1.0,13.0
1.0,1.0,22.0,0.0,1.0,13.0
1.0,1.0,21.0,1.75,1.0,13.0
1.0,1.5,21.0,0.0,1.0,13.0
1.0,1.0,18.0,0.0,1.0,13.0
1.0,2.0,18.0,1.75,1.0,14.0
0.0,2.0,24.0,1.75,1.0,13.0
1.0,1.0,23.0,1.75,1.0,13.0
1.0,1.0,29.0,0.0,1.0,0.0
0.0,1.0,23.0,0.0,1.0,0.0
1.0,1.0,19.0,0.0,1.0,13.0
1.0,1.0,22.0,0.0,1.0,10.0
2.0,2.0,22.0,4.5,44.0,5.0
2.0,1.0,36.0,6.0,1.0,0.0
1.0,1.0,50.0,0.0,1.0,0.0
0.0,1.0,50.0,0.0,44.0,14.0
0.0,1.0,50.0,0.0,1.0,0.0
0.0,1.0,49.0,0.0,1.0,13.0
1.0,1.0,50.0,0.0,12.0,10.0
1.0,1.0,49.0,0.0,1.0,10.0
0.0,1.0,50.0,0.0,1.0,14.0
0.0,1.0,49.0,1.0,1.0,10.0
0.0,2.0,2.0,0.0,12115.0,14.0
1.0,1.0,50.0,0.0,1.0,0.0
0.0,1.0,48.0,0.0,1.0,13.0
1.0,1.0,13.0,1.75,1.0,13.0
2.0,1.0,23.0,0.0,1.0,0.0
1.0,1.0,34.0,1.75,15.0,0.0
1.0,1.0,25.0,2.5,1.0,0.0
1.0,1.0,44.0,0.0,1.0,13.0
0.0,1.0,30.0,0.0,1.0,13.0
0.0,1.0,24.0,1.75,1.0,0.0
1.0,1.0,48.0,0.0,1.0,13.0
1.0,1.0,45.0,0.0,144.0,0.0
1.0,1.0,40.0,0.0,1.0,0.0
1.0,1.0,48.0,0.0,1.0,14.0
