status,number_of_stories,age,roof_mwfrs_enc,wall_cladding_enc,roof_system_enc,roof_cover_enc,foundation_type,wall_structure,soffit_type,large_door_present
3.0,1.0,20.0,16.0,10.0,62.0,6.0,8.0,28.0,4.0,1.0
4.0,1.0,118.0,16.0,0.0,62.0,19.0,12.0,28.0,3.0,1.0
1.0,3.0,0.0,16.0,91927.0,62.0,121.0,5.0,28.0,4.0,1.0
4.0,1.0,25.0,16.0,23.0,62.0,121.0,12.0,28.0,4.0,0.0
4.0,1.0,118.0,16.0,0.0,62.0,121.0,7.0,28.0,3.0,0.0
4.0,1.0,118.0,3.0,9.0,65.0,121.0,7.0,28.0,3.0,0.0
2.0,1.0,62.0,3.0,9.0,65.0,121.0,7.0,28.0,3.0,0.0
1.0,3.0,11.0,3.0,9.0,65.0,121.0,7.0,28.0,3.0,0.0
1.0,3.0,54.6,3.0,9.0,65.0,121.0,7.0,28.0,3.0,0.0
2.0,3.0,25.0,4.0,2.0,91.0,117.0,7.0,5.0,1.0,0.0
2.0,3.0,49.4,4.0,2.0,91.0,117.0,7.0,5.0,1.0,0.0
3.0,1.0,118.0,4.0,2.0,91.0,117.0,7.0,5.0,1.0,0.0
2.0,1.0,59.0,16.0,16.0,65.0,121.0,7.0,28.0,1.0,1.0
2.0,1.0,75.0,13.0,10.0,8.0,25.0,7.0,17.0,1.0,0.0
2.0,2.0,28.0,16.0,9.0,65.0,19.0,12.0,28.0,5.0,0.0
2.0,2.0,29.0,16.0,9.0,65.0,19.0,12.0,28.0,5.0,0.0
2.0,2.0,27.4,16.0,9.0,65.0,19.0,12.0,28.0,5.0,0.0
2.0,2.0,27.4,16.0,9.0,65.0,19.0,12.0,28.0,5.0,0.0
3.0,2.0,32.4,16.0,9.0,65.0,19.0,12.0,28.0,5.0,0.0
3.0,1.0,59.0,16.0,10.0,65.0,6.0,7.0,17.0,4.0,0.0
3.0,2.0,23.0,16.0,9.0,67.0,19.0,12.0,28.0,5.0,0.0
0.0,1.0,17.0,16.0,10.0,67.0,10.0,8.0,28.0,3.0,1.0
4.0,2.0,34.0,16.0,23.0,67.0,121.0,14.0,28.0,4.0,0.0
3.0,1.0,33.0,16.0,9.0,62.0,121.0,14.0,28.0,4.0,0.0
2.0,1.0,33.0,16.0,16.0,62.0,19.0,7.0,28.0,4.0,0.0
1.0,1.0,44.0,16.0,169.0,62.0,121.0,7.0,28.0,4.0,0.0
2.0,1.0,17.0,4.0,170.0,90.0,121.0,7.0,5.0,1.0,0.0
2.0,1.0,62.0,4.0,15.0,910.0,121.0,7.0,6.0,1.0,0.0
1.0,1.0,35.0,3.0,1023.0,3.0,18.0,7.0,27.0,1.0,1.0
1.0,1.0,68.0,3.0,0.0,62.0,19.0,7.0,28.0,4.0,1.0
1.0,1.0,68.0,3.0,19.0,65.0,121.0,7.0,28.0,5.0,1.0
1.0,1.0,68.0,3.0,15.0,90.0,121.0,7.0,0.0,1.0,1.0
2.0,2.0,11.0,3.0,1023.0,908.0,121.0,7.0,17.0,1.0,1.0
1.0,1.0,84.0,16.0,14.0,65.0,19.0,7.0,28.0,5.0,0.0
2.0,1.0,37.0,16.0,16.0,65.0,19.0,7.0,28.0,3.0,0.0
2.0,1.0,50.0,16.0,16.0,62.0,19.0,7.0,28.0,4.0,1.0
0.0,1.0,36.0,16.0,161923.0,62.0,121.0,7.0,28.0,4.0,0.0
0.0,1.0,44.0,16.0,16.0,62.0,117.0,7.0,28.0,4.0,0.0
1.0,1.0,43.0,16.0,16.0,62.0,19.0,7.0,28.0,3.0,0.0
1.0,1.0,44.0,16.0,16.0,62.0,19.0,7.0,28.0,4.0,0.0
1.0,1.0,48.0,16.0,1623.0,62.0,19.0,7.0,28.0,4.0,0.0
1.0,1.0,42.0,16.0,16.0,62.0,117.0,7.0,28.0,3.0,0.0
